earth_mass,planet_mass,result,failure_time
1,20.0,stable,335.40000000000003
1,20.13422818791946,stable,335.40000000000003
1,20.268456375838927,stable,335.40000000000003
1,20.40268456375839,stable,335.40000000000003
1,20.536912751677853,stable,335.40000000000003
1,20.671140939597315,stable,335.40000000000003
1,20.80536912751678,stable,335.40000000000003
1,20.93959731543624,stable,335.40000000000003
1,21.073825503355703,stable,335.40000000000003
1,21.20805369127517,stable,335.40000000000003
1,21.34228187919463,stable,335.40000000000003
1,21.476510067114095,stable,335.40000000000003
1,21.610738255033556,stable,335.40000000000003
1,21.74496644295302,stable,335.40000000000003
1,21.879194630872483,stable,335.40000000000003
1,22.013422818791945,stable,335.40000000000003
1,22.14765100671141,stable,335.40000000000003
1,22.28187919463087,stable,335.40000000000003
1,22.416107382550337,stable,335.40000000000003
1,22.550335570469798,stable,335.40000000000003
1,22.684563758389263,stable,335.40000000000003
1,22.818791946308725,stable,335.40000000000003
1,22.95302013422819,stable,335.40000000000003
1,23.08724832214765,stable,335.40000000000003
1,23.221476510067113,stable,335.40000000000003
1,23.355704697986578,stable,335.40000000000003
1,23.48993288590604,stable,335.40000000000003
1,23.624161073825505,stable,335.40000000000003
1,23.758389261744966,stable,335.40000000000003
1,23.892617449664428,stable,335.40000000000003
1,24.026845637583893,stable,335.40000000000003
1,24.161073825503355,stable,335.40000000000003
1,24.29530201342282,stable,335.40000000000003
1,24.42953020134228,stable,335.40000000000003
1,24.563758389261743,stable,335.40000000000003
1,24.697986577181208,stable,335.40000000000003
1,24.832214765100673,stable,335.40000000000003
1,24.966442953020135,stable,335.40000000000003
1,25.100671140939596,stable,335.40000000000003
1,25.23489932885906,stable,335.40000000000003
1,25.369127516778523,stable,335.40000000000003
1,25.503355704697988,stable,335.40000000000003
1,25.63758389261745,stable,335.40000000000003
1,25.77181208053691,stable,335.40000000000003
1,25.906040268456376,stable,335.40000000000003
1,26.040268456375838,stable,335.40000000000003
1,26.174496644295303,collision,29.478306000000003
1,26.308724832214764,collision,27.40218
1,26.442953020134226,collision,29.396133000000003
1,26.57718120805369,collision,70.975671
1,26.711409395973156,collision,12.933024000000001
1,26.845637583892618,collision,10.853544000000001
1,26.97986577181208,collision,30.531462
1,27.114093959731544,collision,8.948472
1,27.248322147651006,collision,8.908224
1,27.38255033557047,collision,11.962041000000001
1,27.516778523489933,collision,94.87795200000001
1,27.651006711409394,collision,13.293579000000001
1,27.78523489932886,collision,8.185437
1,27.91946308724832,collision,7.190976
1,28.053691275167786,collision,7.341906000000001
1,28.187919463087248,collision,8.109972
1,28.32214765100671,collision,10.041876
1,28.456375838926174,collision,13.105755
1,28.59060402684564,collision,45.869304
1,28.7248322147651,collision,29.111043000000002
1,28.859060402684563,collision,27.831492
1,28.993288590604028,stable,335.40000000000003
1,29.12751677852349,collision,45.745206
1,29.261744966442954,collision,64.779156
1,29.395973154362416,stable,335.40000000000003
1,29.530201342281877,collision,34.251048000000004
1,29.664429530201343,collision,70.363566
1,29.798657718120808,collision,32.082687
1,29.93288590604027,collision,20.233005000000002
1,30.06711409395973,collision,20.241390000000003
1,30.201342281879192,collision,20.147478
1,30.335570469798657,collision,28.247388
1,30.469798657718123,stable,335.40000000000003
1,30.604026845637584,stable,335.40000000000003
1,30.738255033557046,stable,335.40000000000003
